"Timestamp","Your Nickname (the name you go by)","Your Asphalt Unite Player ID (found in game profile & inbox)*","Are you subscribed to Amogh? (Link to Amogh's Channel)","Do you have the key for the Lamborghini Revuelto?*"
"2024/11/25 4:43:35 pm GMT+5:30","Demolisher ","u-f5798h","Yes","No, I don't have the key."
"2024/11/25 4:43:53 pm GMT+5:30","ARSHU","u_59fdgh","Yes","No, I don't have the key."
"2024/11/25 4:44:00 pm GMT+5:30","EVIL SHADOW","u-3e50c6","Yes","No, I don't have the key."
"2024/11/25 4:44:02 pm GMT+5:30","Buraq","u-7cg880","Yes","No, I don't have the key."
"2024/11/25 4:44:04 pm GMT+5:30","AlDiffEw _ YT","u-7dh647","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:26 pm GMT+5:30","Spaztik","u-1g2825","Yes","No, I don't have the key."
"2024/11/25 4:44:30 pm GMT+5:30","FASTKING","GRFASTKING","Yes","No, I don't have the key."
"2024/11/25 4:44:33 pm GMT+5:30","SunRisers13","u-2ce4e0","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:50 pm GMT+5:30","ORION PAX","u-fh69h7 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:44:57 pm GMT+5:30","Simon Ao","7e8h1","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:03 pm GMT+5:30","sai","u-440dde","Yes","No, I don't have the key."
"2024/11/25 4:45:05 pm GMT+5:30","Rahul mahajan","u-9g378","Yes","No, I don't have the key."
"2024/11/25 4:45:17 pm GMT+5:30","NFS™ Dragon","u-h69f24","Yes","No, I don't have the key."
"2024/11/25 4:45:31 pm GMT+5:30","Sukuna","u-g89f61 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:54 pm GMT+5:30","black_box","u-44dd8","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:45:55 pm GMT+5:30","Lucifer","u-38f4c0","Yes","No, I don't have the key."
"2024/11/25 4:46:04 pm GMT+5:30","Púrple","u-9d378 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:07 pm GMT+5:30","Ryūjin Swift ","u-2e87d","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:19 pm GMT+5:30","ÆGON","u-g9f89e","Yes","No, I don't have the key."
"2024/11/25 4:46:34 pm GMT+5:30","TThunder","u-638d99","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:46:43 pm GMT+5:30","Crazy moose","u-50e3e2","No","No, I don't have the key."
"2024/11/25 4:46:49 pm GMT+5:30","GOOD BY (in game name) ","u-d8d277","Yes","No, I don't have the key."
"2024/11/25 4:46:51 pm GMT+5:30","KT","u-77fehe","Yes","No, I don't have the key."
"2024/11/25 4:46:58 pm GMT+5:30","Nitro Blaze","u-5gcg6","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:47:15 pm GMT+5:30","Destroyer","u-33896","Yes","No, I don't have the key."
"2024/11/25 4:47:36 pm GMT+5:30","IMMENSE","u-g996g2","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:47:37 pm GMT+5:30","TBD™Hamza","u-6g747e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:47:55 pm GMT+5:30","Shyam","u-7d7694","Yes","No, I don't have the key."
"2024/11/25 4:47:55 pm GMT+5:30","Ramit","u-9g378","Yes","No, I don't have the key."
"2024/11/25 4:47:59 pm GMT+5:30","Kumar Gaurav","u-84933","Yes","No, I don't have the key."
"2024/11/25 4:48:06 pm GMT+5:30","Raman GG","u-54h3cd","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:48:12 pm GMT+5:30","GR™ $l0dude","u-464hcf","Yes","No, I don't have the key."
"2024/11/25 4:48:22 pm GMT+5:30","Adieshlall ","u-30ggf0","No","No, I don't have the key."
"2024/11/25 4:48:26 pm GMT+5:30","Elohim","u-7h5d33","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:48:29 pm GMT+5:30","JaMbizard","u-96228h ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:48:45 pm GMT+5:30","Trash boat","U-11dc5","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:48:54 pm GMT+5:30","Deepanshu Goyal","u-8g7509","Yes","No, I don't have the key."
"2024/11/25 4:49:12 pm GMT+5:30","Zap","u-95e1f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:49:14 pm GMT+5:30","LONEWOLF","u-165fe7","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:49:22 pm GMT+5:30","Alan","u-3dg41h","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:49:54 pm GMT+5:30","ASAD","u-707d7","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:49:58 pm GMT+5:30","The Never King ","u-h974h7","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:50:02 pm GMT+5:30","Un™ Miss Tweety ","u-efg5gh","Yes","No, I don't have the key."
"2024/11/25 4:50:41 pm GMT+5:30","DriverNoobBeast","u-f8de7d","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:50:46 pm GMT+5:30","Android 24 ","u-hh7d20 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:50:49 pm GMT+5:30","A.9.U.F Salat","u-5ec810","Yes","No, I don't have the key."
"2024/11/25 4:51:08 pm GMT+5:30","Nikolaj9036","u-ee044g ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:51:11 pm GMT+5:30","Raidee ","u-988hf9","Yes","No, I don't have the key."
"2024/11/25 4:51:54 pm GMT+5:30","El Gana","u-c8ecf35","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:52:11 pm GMT+5:30","Kwame","u-h80dh3","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:52:29 pm GMT+5:30","RobaxCarlos","u-0h585f","Yes","No, I don't have the key."
"2024/11/25 4:53:16 pm GMT+5:30","ankush","u-hggcc6","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:53:26 pm GMT+5:30","KedaiRuncit ","u-6fc44h ","Yes","No, I don't have the key."
"2024/11/25 4:53:41 pm GMT+5:30","Alien","u-h6gf5","Yes","No, I don't have the key."
"2024/11/25 4:53:47 pm GMT+5:30","W.F. ™ | Backflip","u-55g804","Yes","No, I don't have the key."
"2024/11/25 4:53:48 pm GMT+5:30","BS™| Supernova","u-d9hdf3 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:54:01 pm GMT+5:30","CoffinXP","u-f152c","Yes","No, I don't have the key."
"2024/11/25 4:54:22 pm GMT+5:30","Mr.fool","u-54gd14","Yes","No, I don't have the key."
"2024/11/25 4:55:32 pm GMT+5:30","SUYUFGG","U-f514d5","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:55:55 pm GMT+5:30","BS™| BMAS2YT ヅ","u-2f6503","Yes","No, I don't have the key."
"2024/11/25 4:56:12 pm GMT+5:30","kingJMillz","u-g85c71","Yes","No, I don't have the key."
"2024/11/25 4:56:27 pm GMT+5:30","Hurricane yt ","u-698f8d","Yes","No, I don't have the key."
"2024/11/25 4:57:24 pm GMT+5:30","W.F.™ | Backflip","u-55g804","Yes","No, I don't have the key."
"2024/11/25 4:57:50 pm GMT+5:30","Rage","u-c156d","Yes","No, I don't have the key."
"2024/11/25 4:58:03 pm GMT+5:30","Naseeb","u-8hc35","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:58:23 pm GMT+5:30","RacerStix","u-gc0f00","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:59:24 pm GMT+5:30","virtual","u-eh5f93","Yes","No, I don't have the key."
"2024/11/25 4:59:27 pm GMT+5:30","IceQueen","u-c01hh9","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:59:38 pm GMT+5:30","Freeze in game ","u-951001","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 4:59:40 pm GMT+5:30","TEHLİKELKETÇAP ","u-350941","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:00:08 pm GMT+5:30","dnsthp27","u-e3160","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:00:10 pm GMT+5:30","Grimjow","u-0d2f5h","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:00:19 pm GMT+5:30","BLOOD R3VANNN ","4eh830","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:01:26 pm GMT+5:30","V I R E N","u-734757","Yes","No, I don't have the key."
"2024/11/25 5:01:28 pm GMT+5:30","abood66","u-d080d1","Yes","No, I don't have the key."
"2024/11/25 5:02:38 pm GMT+5:30","SUNGODNIKA","u-769g00","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:02:55 pm GMT+5:30","S.e.N.s.E.i","u-4h01h8","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:02:56 pm GMT+5:30","Z_Olivér","u-140he","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:03:27 pm GMT+5:30","Adi sudirja","u-1cf4d03 ","Yes","No, I don't have the key."
"2024/11/25 5:03:28 pm GMT+5:30","Forgotten","u-1f7ch","Yes","No, I don't have the key."
"2024/11/25 5:03:28 pm GMT+5:30","Joy","U-2c4879","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:03:29 pm GMT+5:30","G.H™Alfa.T","u-","Yes","No, I don't have the key."
"2024/11/25 5:04:08 pm GMT+5:30","Vse7en","u-0c2219","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:04:23 pm GMT+5:30","Racer","u-3cgd26","Yes","No, I don't have the key."
"2024/11/25 5:04:35 pm GMT+5:30","Black Diamond","u-89h822","Yes","No, I don't have the key."
"2024/11/25 5:04:41 pm GMT+5:30","Rozelx7","u-414h87","Yes","No, I don't have the key."
"2024/11/25 5:05:54 pm GMT+5:30","㋡. Chilling Out.","u-e7596","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:06:15 pm GMT+5:30","Angel","u-379h6h ","No","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:06:25 pm GMT+5:30","Mohammed IA","u-0cg72","Yes","No, I don't have the key."
"2024/11/25 5:07:14 pm GMT+5:30","R2G","u-cf6h4f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:07:21 pm GMT+5:30","MaX2Ny","u-8077ce","Yes","No, I don't have the key."
"2024/11/25 5:08:30 pm GMT+5:30","ⳘΠKΩϢΠ ϷLΔΨΣΓ™","u-8e8h46","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:08:56 pm GMT+5:30","orange sir ","u-62dc1d","Yes","No, I don't have the key."
"2024/11/25 5:09:24 pm GMT+5:30","Rehan","mr.unknown1928(UID:u-8d63h8)","Yes","No, I don't have the key."
"2024/11/25 5:10:02 pm GMT+5:30","HyperBola","u-0d2g1c","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:10:57 pm GMT+5:30","Ricochet76","u-87089","No","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:11:29 pm GMT+5:30","[VN™]Hen隊_88484","u-cd728f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:11:47 pm GMT+5:30","PapaAaGaya (PapaIsHere) ","u-d0df61","Yes","No, I don't have the key."
"2024/11/25 5:12:07 pm GMT+5:30","JXDD","u-898d8e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:12:26 pm GMT+5:30","Booom","U-1e81c ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:12:48 pm GMT+5:30","Daesilin","u-7he87e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:12:50 pm GMT+5:30","MIM™Lina","u-fe6f15","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:13:23 pm GMT+5:30","MF™Jaelyn","u-5c1725","Yes","No, I don't have the key."
"2024/11/25 5:13:49 pm GMT+5:30","Aryan","u-3d8047","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:14:10 pm GMT+5:30","Spreathxcast","u-9dh192","Yes","No, I don't have the key."
"2024/11/25 5:14:33 pm GMT+5:30","Mr.fool","u-54gd14","Yes","No, I don't have the key."
"2024/11/25 5:14:58 pm GMT+5:30","Killzy","u-f11c3","Yes","No, I don't have the key."
"2024/11/25 5:16:43 pm GMT+5:30","@sameer-9993yt","U-gf098h","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:17:10 pm GMT+5:30","dvdlegend","u-d5006","Yes","No, I don't have the key."
"2024/11/25 5:17:23 pm GMT+5:30","David974","u-h428e","Yes","No, I don't have the key."
"2024/11/25 5:19:55 pm GMT+5:30","Visnu Sudhir ","u-cdhgh0h ","Yes","No, I don't have the key."
"2024/11/25 5:20:56 pm GMT+5:30","rewt","u-96228h","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:21:08 pm GMT+5:30","AMJ","u-0453h2","Yes","No, I don't have the key."
"2024/11/25 5:22:27 pm GMT+5:30","Drago","u-3d8047","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:23:11 pm GMT+5:30","Akash (EMP)","u-934c9","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:24:06 pm GMT+5:30","PGameX ","u-9c3563","Yes","No, I don't have the key."
"2024/11/25 5:25:22 pm GMT+5:30","Shantanu","u-e61g38","Yes","No, I don't have the key."
"2024/11/25 5:26:13 pm GMT+5:30","ラケシス•零式•Z'01","u-181738 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:27:13 pm GMT+5:30","Rev0","u-289464","Yes","No, I don't have the key."
"2024/11/25 5:27:26 pm GMT+5:30","ISR™HAWKEYE_*","u-6e5h93 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:27:29 pm GMT+5:30","Sunny","u-f7h972","Yes","No, I don't have the key."
"2024/11/25 5:27:58 pm GMT+5:30","Softisticated","u-8cf38h","Yes","No, I don't have the key."
"2024/11/25 5:29:15 pm GMT+5:30","₦ｉｇｈｔ  千ｕｒｙ","u-e6174","Yes","No, I don't have the key."
"2024/11/25 5:29:29 pm GMT+5:30","bleach2065","u-hfeg75","Yes","No, I don't have the key."
"2024/11/25 5:29:33 pm GMT+5:30","Electrically","u-cfce3f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:29:43 pm GMT+5:30","Acrux","u-h250","Yes","No, I don't have the key."
"2024/11/25 5:29:54 pm GMT+5:30","Ifaw","u-df3273","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:29:55 pm GMT+5:30","Vinay Thakur ","u-c25274","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:30:06 pm GMT+5:30","ivanoll","u-33fcef","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:30:12 pm GMT+5:30","Brandon jr","U-fd23g","Yes","No, I don't have the key."
"2024/11/25 5:30:19 pm GMT+5:30","PH4N70MK1NG","u-h40g38","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:30:35 pm GMT+5:30","Niquito","u-gh6116","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:31:46 pm GMT+5:30","Versatile","u-0cccf","Yes","No, I don't have the key."
"2024/11/25 5:32:09 pm GMT+5:30","Talib","u-504339","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:32:37 pm GMT+5:30","DORAEMON","u-05h3ge","Yes","No, I don't have the key."
"2024/11/25 5:33:22 pm GMT+5:30","Justin0421","u-60d244","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:34:20 pm GMT+5:30","nyan","u-508d1","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:34:39 pm GMT+5:30","Prince","u-47f081","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:35:10 pm GMT+5:30","Marshil","u-cgh6","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:35:30 pm GMT+5:30","Latent ","u-cfch00 ","Yes","No, I don't have the key."
"2024/11/25 5:35:31 pm GMT+5:30","KAiZER","u-e845h9","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:36:07 pm GMT+5:30","jimmyjames","u-f3883","Yes","No, I don't have the key."
"2024/11/25 5:36:51 pm GMT+5:30","Mademoiselle_R","u-eegec6","Yes","No, I don't have the key."
"2024/11/25 5:37:06 pm GMT+5:30","npdanh","u-9df82","Yes","No, I don't have the key."
"2024/11/25 5:37:12 pm GMT+5:30","Nahual66","u-1056h","Yes","Yes, I have the key and my Revuelto is maxed"
"2024/11/25 5:37:33 pm GMT+5:30","Big Orange ","u-8f6c4f ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:39:04 pm GMT+5:30","RpM_Aerousion","u-f912cd","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:39:34 pm GMT+5:30","DragonBlaster","u-422g40","Yes","No, I don't have the key."
"2024/11/25 5:40:31 pm GMT+5:30","TorquebossRsR","U-0858h7","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:41:14 pm GMT+5:30","Ayrton","u-1cgc6","Yes","No, I don't have the key."
"2024/11/25 5:41:22 pm GMT+5:30","wasd324","u-9g0e7h","Yes","No, I don't have the key."
"2024/11/25 5:42:27 pm GMT+5:30","Rubinho","U-c683cg ","No","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:43:00 pm GMT+5:30","Driver","u-49g587","Yes","No, I don't have the key."
"2024/11/25 5:43:01 pm GMT+5:30","SAM Driver1931","u-d011f3","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:43:23 pm GMT+5:30","VROOMS Aravind ","u-dhhf227","Yes","No, I don't have the key."
"2024/11/25 5:43:27 pm GMT+5:30","$K۞74۞LR™","u-h4f0d2","Yes","No, I don't have the key."
"2024/11/25 5:43:37 pm GMT+5:30","NEWBIE 888","u-49dd4","Yes","No, I don't have the key."
"2024/11/25 5:45:11 pm GMT+5:30","Digão","u-3g1e10","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:45:12 pm GMT+5:30","S3guroski ","u-358f50","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:45:55 pm GMT+5:30","NFS™ ACE","u-3cec1h ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:46:33 pm GMT+5:30","Platinum","u-389h0c","Yes","No, I don't have the key."
"2024/11/25 5:46:38 pm GMT+5:30","Chill","u-d4he2f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:47:57 pm GMT+5:30","D |SennaForever","u-554gg","No","No, I don't have the key."
"2024/11/25 5:48:29 pm GMT+5:30","tRuNKator","u-87e4fc","Yes","No, I don't have the key."
"2024/11/25 5:48:32 pm GMT+5:30","Rev Mønster","u-97f593","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:48:37 pm GMT+5:30","MIR","u-f95816","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:48:45 pm GMT+5:30","Luca","u-83g4gh6","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:49:35 pm GMT+5:30","Star™ noob","u-42868e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:49:43 pm GMT+5:30","Arceus","u-g81366","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:50:09 pm GMT+5:30","toofoo","u-4g2825 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:50:18 pm GMT+5:30","Justop","u-ehh9d","Yes","No, I don't have the key."
"2024/11/25 5:50:23 pm GMT+5:30","Rohit","u-49e34","Yes","No, I don't have the key."
"2024/11/25 5:50:25 pm GMT+5:30","Ben Dover ツ","u-hgg502","Yes","No, I don't have the key."
"2024/11/25 5:50:32 pm GMT+5:30","Harikrishna ","u-48egh (HVK-THE RACER)","Yes","No, I don't have the key."
"2024/11/25 5:50:39 pm GMT+5:30","Egoista Racer ","u-2f967e","Yes","No, I don't have the key."
"2024/11/25 5:51:02 pm GMT+5:30","X11 Yashwith","u-d83cd4 ","Yes","No, I don't have the key."
"2024/11/25 5:51:08 pm GMT+5:30","Ben Dover ツ","u-hgg502","Yes","No, I don't have the key."
"2024/11/25 5:51:37 pm GMT+5:30","JBGAMING","u-9h085e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:52:30 pm GMT+5:30","Max Verstappen ","u-gh0525 ","Yes","No, I don't have the key."
"2024/11/25 5:52:33 pm GMT+5:30","Farben","u-287gfe","Yes","No, I don't have the key."
"2024/11/25 5:52:36 pm GMT+5:30","yt name (OS Gaming ) in game name ( XLOVE"" I)","u-1h4fdc","Yes","No, I don't have the key."
"2024/11/25 5:52:42 pm GMT+5:30","MainCharacter","u-ch52cc9","Yes","No, I don't have the key."
"2024/11/25 5:52:47 pm GMT+5:30","HACKERMALU","u-994665","Yes","No, I don't have the key."
"2024/11/25 5:52:49 pm GMT+5:30","SL VIKRAM","u-g5f61","Yes","No, I don't have the key."
"2024/11/25 5:52:50 pm GMT+5:30","Tanishq","u-4gd8f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:52:58 pm GMT+5:30","BakaLord69","u-7fd5h2 ","Yes","No, I don't have the key."
"2024/11/25 5:53:09 pm GMT+5:30","Manu","u-1f8e55","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:53:24 pm GMT+5:30","Ansuman777","u-39097e","Yes","No, I don't have the key."
"2024/11/25 5:53:29 pm GMT+5:30","ninjatoru","u-84792c","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:53:40 pm GMT+5:30","Driver","u-76909d","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:54:01 pm GMT+5:30","PHODAO","u-77h7e3","No","Yes, I have the key and my Revuelto is maxed"
"2024/11/25 5:55:31 pm GMT+5:30","Driver 2006","u-91d0h","Yes","No, I don't have the key."
"2024/11/25 5:55:39 pm GMT+5:30","Wahwai remis","u-g9ghh4","Yes","No, I don't have the key."
"2024/11/25 5:55:43 pm GMT+5:30","Jyoo","u-hd0cc4","Yes","No, I don't have the key."
"2024/11/25 5:55:47 pm GMT+5:30","Maani","u-730d6","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:55:52 pm GMT+5:30","Fahad","u-d2d16","Yes","No, I don't have the key."
"2024/11/25 5:56:02 pm GMT+5:30","Kmr Suhail ","a-8ehfd","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:56:50 pm GMT+5:30","AK-ABIR","u-1ff70","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:57:02 pm GMT+5:30","Avg JBro YT","u-2de00g","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:57:09 pm GMT+5:30","Rixz","u-gfefe5 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:57:14 pm GMT+5:30","^palms^","u-9369e","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 5:59:11 pm GMT+5:30","Mov1lean","u-9f5gg8","Yes","No, I don't have the key."
"2024/11/25 5:59:38 pm GMT+5:30","Omprakash ","u-cc0865","Yes","No, I don't have the key."
"2024/11/25 6:00:39 pm GMT+5:30","El-Cometose$$","u-6d6148","Yes","Yes, I have the key and my Revuelto is maxed"
"2024/11/25 6:00:43 pm GMT+5:30","Nothing ","u-f33g19 ","Yes","No, I don't have the key."
"2024/11/25 6:00:46 pm GMT+5:30","Madcastic","u-ge2ehd","Yes","No, I don't have the key."
"2024/11/25 6:02:00 pm GMT+5:30","Roman Reigns","u-fc49f9","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:03:29 pm GMT+5:30","Ansuman","u-416d31","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:03:47 pm GMT+5:30","Starfruit","u-505g9c","Yes","No, I don't have the key."
"2024/11/25 6:04:12 pm GMT+5:30","NappHills","u-3f79f7","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:04:38 pm GMT+5:30","Raymond","u-dhc326","Yes","No, I don't have the key."
"2024/11/25 6:04:42 pm GMT+5:30","Sam's Gaming ","u-7ce7h7 ","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:05:01 pm GMT+5:30","Ch.Pranav","u-h1d2h8","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:05:11 pm GMT+5:30","sahos","u-3c3ee","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:05:19 pm GMT+5:30","Adrenaline","u-e724f1","Yes","No, I don't have the key."
"2024/11/25 6:05:23 pm GMT+5:30","General Kai","u-14h7h7","Yes","No, I don't have the key."
"2024/11/25 6:05:23 pm GMT+5:30","TheMirage","u-0034gd","Yes","No, I don't have the key."
"2024/11/25 6:05:43 pm GMT+5:30","Driver","u-0431e8","Yes","No, I don't have the key."
"2024/11/25 6:05:44 pm GMT+5:30","Killuá ","u-h80580","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:05:58 pm GMT+5:30","Jeremy C","u-fg26ce","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:06:00 pm GMT+5:30","Luda","u-951cdg","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:06:44 pm GMT+5:30","Ghoul","u-ff525g","Yes","No, I don't have the key."
"2024/11/25 6:06:46 pm GMT+5:30","Tommy","u-d2d6443","Yes","No, I don't have the key."
"2024/11/25 6:07:13 pm GMT+5:30","Aadi","u-9f635f","Yes","Yes, I have the Key, but I need blueprints for the car."
"2024/11/25 6:07:36 pm GMT+5:30","braga","U-241917","Yes","Yes, I have the Key, but I need blueprints for the car."
